1,007,间谍
2,成人,18
3,布洛芬,阿司匹林
4,创可贴,哎哟
5,挫伤,哎哟
6,切,哎哟
7,古,埃及
8,国家,埃及
9,孩子,挨饿
10,惄,挨饿
11,乳房,癌症
12,矮人,矮人
13,怕羞,矮人
14,承诺,爱
15,崇拜,爱
16,慈善机构,爱
17,粉碎,爱
18,感情,爱
19,关怀,爱
20,关心,爱
21,孩子,爱
22,家庭,爱
23,键,爱
24,狂喜,爱
25,搂抱,爱
26,魅力,爱
27,命运,爱
28,摩挲,爱
29,男朋友,爱
30,佩服,爱
31,情感,爱
32,情绪化,爱
33,事,爱
34,同情,爱
35,无穷,爱
36,吸引,爱
37,享受,爱
38,一对,爱
39,拥抱,爱
40,欲望,爱
41,忠实,爱
42,装饰,爱
43,爱管闲事,爱管闲事
44,好奇,爱管闲事
45,好奇心,爱管闲事
46,恼人的,爱管闲事
47,国家,爱国
48,美国人,爱国
49,公民,爱国者
50,军队,爱国者
51,美国人,爱国者
52,飞机,爱好
53,工艺,爱好
54,工艺,爱好
55,活动,爱好
56,收集,爱好
57,跳舞,爱好
58,艾伯特,爱因斯坦
59,辉煌,爱因斯坦
60,脑,爱因斯坦
61,持重,安静
62,打扰,安静
63,混乱,安静
64,冷静,安静
65,聋,安静
66,失败,安静
67,冷静,安宁
68,安慰,安全
69,报警,安全
70,报警,安全
71,避孕套,安全
72,驱动,安全
73,慎重,安全
74,毯子,安全
75,危险,安全
76,危险,安全
77,危险的,安全
78,系,安全
79,小心,安全
80,小心,安全
81,信心,安全
82,信心,安全
83,汽车,安全带
84,系,安全带
85,安慰,安慰
86,床,安慰
87,计算机,安慰
88,汽车,安慰
89,椅子,安慰
90,冷静,安详
91,鸟,鹌鹑
92,鸭,鹌鹑
93,滨,岸
94,海滩,岸
95,海湾,岸
96,会议,按
97,钮,按
98,箱,按
99,长椅,按
100,嘟,按喇叭
101,汽车,按喇叭
102,后面,按摩
103,摩挲,按摩
104,身体,按摩
105,公文包,案
106,简要,案
107,篮,案
108,相机,案
109,箱,案
110,百叶窗,暗
111,胆大,暗
112,地下室,暗
113,洞穴,暗
114,洞穴,暗
115,多云,暗
116,阁楼,暗
117,黑色,暗
118,后,暗
119,胡同,暗
120,窖,暗
121,亮,暗
122,盲人,暗
123,怕,暗
124,棕色,暗
125,暗,暗淡
126,亮,暗淡
127,回答,暗示
128,球杆,暗示
129,线索,暗示
130,廉价,昂贵
131,汽车,昂贵
132,设计师,昂贵
133,衣服,昂贵
134,钻石,昂贵
135,崩溃,凹痕
136,汽车,凹痕
137,事故,凹痕
138,损坏,凹痕
139,弯曲,凹痕
140,鸟,翱翔
141,鹰,翱翔
142,傲慢,傲慢
143,大,傲慢
144,坏,傲慢
145,自负,傲慢
146,冠军,奥运
147,竞争,奥运
148,青铜,奥运
149,运动员,奥运
150,球,八
151,城市,巴黎
152,欧洲,巴黎
153,运河,巴拿马
154,芭蕾舞演员,芭蕾舞
155,平衡,芭蕾舞
156,面对,疤痕
157,切,疤痕
158,烧,疤痕
159,事故,疤痕
160,拨号,把手
161,门,把手
162,门口,把手
163,概念,把握
164,咬紧,把握
165,海狸,坝
166,棒球,罢工
167,保龄球,罢工
168,吹,罢工
169,击败,罢工
170,碗,罢工
171,主导,霸道
172,菜花,白
173,粉笔,白
174,鸽子,白
175,黑色,白
176,领,白
177,奶油,白
178,漂白,白
179,清洁,白
180,头皮,白
181,颜色,白
182,云,白
183,棕色,白
184,白痴,白痴
185,笨蛋,白痴
186,哑,白痴
187,哑,白痴
188,酒精,白兰地
189,错误,白蚁
190,蚂蚁,白蚁
191,蟑螂,白蚁
192,美元,百
193,蝙蝠侠,百搭
194,高手,百搭
195,牌,百搭
196,小丑,百搭
197,量,百分比
198,平均,百分比
199,量,百分之
200,布里坦尼卡,百科全书
201,大英百科全书,百科全书
202,历书,百科全书
203,书,百科全书
204,字典,百科全书
205,棕色,百科全书
206,喝,百事可乐
207,焦炭,百事可乐
208,咖啡因,百事可乐
209,可口可乐,百事可乐
210,冷,百事可乐
211,美元,百万
212,十亿,百万
213,百叶窗,百叶
214,时钟,摆
215,孩子,摆动
216,椅子,摆动
217,消除,摆脱
218,教堂,拜
219,信念,拜
220,新月,扳手
221,达尔马提亚,斑点
222,点,斑点
223,狗,斑点
224,污垢,斑点
225,脏,斑点
226,动物,斑马
227,非洲,斑马
228,驴,斑马
229,杯,板
230,吃,板
231,橱柜,板
232,打破,板
233,晚餐,板
234,碗,板
235,碗碟,板
236,中国,板
237,错误,板球
238,恼人的,板球
239,喳,板球
240,方向,办法
241,方向,办法
242,概念,办法
243,胡同,办法
244,课程,办法
245,门,办法
246,驱动,办法
247,条件,办法
248,习俗,办法
249,办公桌,办公室
250,机构,办公室
251,建筑,办公室
252,书记,办公室
253,牙科医生,办公室
254,业务,办公室
255,局,办公桌
256,书记,办公桌
257,椅子,办公桌
258,半,半
259,半,半
260,划分,半
261,直径,半径
262,伴侣,伴侣
263,查,伴侣
264,伙伴,伴侣
265,品种,伴侣
266,笨拙,绊倒
267,下降,绊倒
268,帮助,帮手
269,孩子,帮手
270,小精灵,帮手
271,协助,帮手
272,协助,帮手
273,助理,帮手
274,艾滋病,帮助
275,安慰,帮助
276,帮助,帮助
277,辩护,帮助
278,慈善机构,帮助
279,代理人,帮助
280,得益,帮助
281,法律顾问,帮助
282,副驾驶,帮助
283,拐杖,帮助
284,关心,帮助
285,机构,帮助
286,急,帮助
287,救护车,帮助
288,绝望,帮助
289,哭,帮助
290,例子,帮助
291,批评,帮助
292,劝,帮助
293,危机,帮助
294,危险,帮助
295,线索,帮助
296,协助,帮助
297,协助,帮助
298,医生,帮助
299,诊所,帮助
300,治愈,帮助
301,忠告,帮助
302,助理,帮助
303,捕获,绑架
304,孩子,绑架
305,诱拐,绑架
306,狗,蚌
307,蛤,蚌
308,基地,棒球
309,球,棒球
310,糖果,棒糖
311,袋,包
312,后面,包
313,交付,包
314,圣诞节,包
315,箱,包
316,绷带,包裹
317,覆盖,包裹
318,周围,包裹
319,饼干,包子
320,面包,包子
321,行使,薄
322,饮食,薄
323,脂肪,薄
324,气息,薄荷
325,巧克力,薄荷
326,糖果,薄荷
327,条件,薄荷
328,冷,薄荷醇
329,香烟,薄荷醇
330,凉爽,薄荷糖
331,气息,薄荷糖
332,巧克力,薄荷糖
333,糖果,薄荷糖
334,麸,薄片
335,谷类,薄片
336,头皮,薄片
337,玉米,薄片
338,吹,薄纸
339,冷,薄纸
340,昂贵,宝
341,翠,宝
342,冠,宝
343,胸部,宝
344,钻石,宝
345,凹痕,宝顶
346,翠,宝石
347,钻石,宝石
348,冠,宝座
349,椅子,宝座
350,界,保持
351,收集,保持
352,避孕套,保护
353,辩护,保护
354,防御,保护
355,覆盖,保护
356,覆盖,保护
357,睫毛,保护
358,盔甲,保护
359,胡同,保龄球
360,球,保龄球
361,昂贵,保险
362,代理人,保险
363,覆盖,保险
364,公司,保险
365,机构,保险
366,汽车,保险
367,声称,保险
368,索赔,保险
369,事故,保险杠
370,吹牛,堡垒
371,建筑,堡垒
372,军队,堡垒
373,营,堡垒
374,书,报废
375,位,报废
376,案,报告
377,卡,报告
378,文章,报告
379,编辑,报纸
380,广告,报纸
381,广告,报纸
382,男孩,报纸
383,评论家,报纸
384,日常,报纸
385,社论,报纸
386,文章,报纸
387,柱,报纸
388,搅扰,抱怨
389,母狗,抱怨
390,争论,抱怨
391,动物,豹
